Case_ID,Side,Curve1_RAS_S_Avg,Curve2_RAS_S_Avg,Curve1_RAS_R_Avg,Curve2_RAS_R_Avg,Superior Curve,RAS_S Diff,RAS_R Alignment Check
ct_001,R,-132.01,-108.83,14.63,-17.07,curve2,23.18,✅
ct_002,L,1522.95,1511.92,12.21,-17.87,curve1,11.03,✅
ct_002,R,1507.07,1521.85,42.04,12.11,curve2,14.78,✅
ct_003,R,-162.19,-191.43,-8.67,25.27,curve1,29.24,✅
ct_004,L,-82.97,-58.62,-56.69,-33.26,curve2,24.35,✅
ct_004,R,-58.23,-84.75,-30.04,5.35,curve1,26.52,✅
ct_005,L,-112.32,-102.47,-31.83,-7.64,curve2,9.85,✅
ct_005,R,-118.43,-101.24,21.37,-6.19,curve2,17.19,✅
ct_006,L,-146.34,-143.84,-16.26,8.31,curve2,2.5,✅
ct_006,R,-129.9,-150.24,7.01,38.86,curve1,20.34,✅
ct_007,L,-155.38,-137.76,-31.42,-3.34,curve2,17.62,✅
ct_007,R,-157.85,-136.7,32.29,-1.18,curve2,21.16,✅
ct_008,L,-183.27,-172.52,-41.27,-9.69,curve2,10.76,✅
ct_008,R,-191.95,-172.92,20.48,-8.8,curve2,19.03,✅
ct_009,L,-165.56,-138.07,-20.69,8.24,curve2,27.49,✅
ct_009,R,-151.6,-143.7,41.21,9.1,curve2,7.9,✅
ct_010,L,-160.06,-144.35,-25.18,-2.26,curve2,15.71,✅
ct_011,L,-262.03,-251.83,-25.36,1.07,curve2,10.2,✅
ct_011,R,-251.66,-269.88,2.64,22.96,curve1,18.22,✅
ct_012,L,-179.76,-163.08,-36.58,-5.91,curve2,16.67,✅
ct_012,R,-183.44,-162.2,28.62,-3.09,curve2,21.24,✅
ct_013,L,179.75,194.24,-35.15,-9.5,curve2,14.48,✅
ct_013,R,171.46,193.99,19.24,-8.91,curve2,22.52,✅
ct_014,L,-65.45,-50.39,-21.44,10.06,curve2,15.06,✅
ct_014,R,-68.68,-53.1,36.8,13.22,curve2,15.58,✅
ct_015,L,-83.21,-63.31,-33.25,-8.08,curve2,19.9,✅
ct_016,L,96.66,116.75,-25.39,-2.09,curve2,20.09,✅
ct_016,R,116.1,101.38,0.5,29.17,curve1,14.72,✅
ct_017,L,548.08,569.44,-43.96,-17.54,curve2,21.36,✅
ct_017,R,569.16,543.91,-15.42,10.39,curve1,25.25,✅
ct_018,L,69.89,89.93,-33.16,-7.79,curve2,20.04,✅
ct_018,R,92.32,74.28,-6.32,27.47,curve1,18.04,✅
ct_019,L,-602.61,-591.47,-23.27,6.31,curve2,11.14,✅
ct_019,R,-602.95,-589.4,38.56,8.33,curve2,13.54,✅
ct_020,L,54.14,66.17,-28.91,-5.74,curve2,12.03,✅
ct_020,R,63.81,55.29,-3.6,28.69,curve1,8.52,✅
ct_021,L,-302.18,-299.98,-15.48,7.95,curve2,2.21,✅
ct_022,L,-258.81,-244.08,-21.63,1.35,curve2,14.72,✅
ct_022,R,-264.7,-240.18,34.96,4.27,curve2,24.52,✅
ct_023,R,-272.85,-255.95,33.19,0.58,curve2,16.9,✅
ct_024,L,1491.83,1513.01,-60.06,-29.34,curve2,21.17,✅
ct_025,L,-96.13,-72.92,-38.4,-5.47,curve2,23.21,✅
ct_025,R,-72.86,-102.42,-2.29,27.3,curve1,29.56,✅
ct_026,L,-196.52,-183.45,-25.2,2.91,curve2,13.07,✅
ct_026,R,-190.75,-183.38,33.81,4.64,curve2,7.37,✅
ct_027,L,-40.83,-32.75,-19.01,4.77,curve2,8.08,✅
ct_027,R,-47.24,-35.0,32.94,5.05,curve2,12.24,✅
ct_028,L,-26.54,-9.32,-35.48,-0.89,curve2,17.22,✅
ct_029,L,-94.53,-89.6,-27.86,10.87,curve2,4.93,✅
ct_029,R,-86.7,-97.82,11.02,29.73,curve1,11.12,✅
ct_030,L,-143.3,-125.79,-27.66,3.87,curve2,17.51,✅
ct_030,R,-141.49,-125.29,30.54,6.26,curve2,16.21,✅
ct_031,L,-66.15,-55.23,-27.53,2.41,curve2,10.91,✅
ct_031,R,-67.22,-56.87,36.73,3.9,curve2,10.35,✅
ct_032,L,16.59,0.06,-4.02,-24.57,curve1,16.53,✅
ct_032,R,18.45,8.1,-4.07,26.37,curve1,10.35,✅
ct_033,R,-21.49,-32.92,11.52,42.75,curve1,11.44,✅
ct_034,L,-48.96,-37.26,-12.64,9.5,curve2,11.7,✅
ct_034,R,-55.38,-38.19,39.76,9.75,curve2,17.2,✅
ct_035,L,-288.25,-276.12,-47.84,-22.48,curve2,12.12,✅
ct_035,R,-276.04,-287.88,-21.33,5.15,curve1,11.83,✅
ct_036,L,-15.96,2.7,-23.69,3.78,curve2,18.66,✅
ct_036,R,-15.69,5.0,37.04,5.63,curve2,20.69,✅
ct_037,L,-656.98,-649.7,-33.72,-12.19,curve2,7.28,✅
ct_037,R,-649.68,-657.22,-12.27,15.27,curve1,7.55,✅
ct_038,L,-28.41,-21.31,-23.38,0.73,curve2,7.1,✅
ct_038,R,-26.16,-19.66,27.39,1.32,curve2,6.51,✅
ct_039,L,-144.52,-135.16,-9.93,19.05,curve2,9.36,✅
ct_039,R,-145.77,-135.13,52.4,20.74,curve2,10.64,✅
ct_040,L,-416.83,-401.91,-26.02,-1.02,curve2,14.92,✅
ct_040,R,-413.88,-401.92,33.69,0.48,curve2,11.97,✅
ct_041,L,59.1,77.81,-25.51,-3.85,curve2,18.71,✅
ct_041,R,60.14,77.89,33.25,-1.85,curve2,17.75,✅
ct_042,L,98.05,111.59,-29.24,1.44,curve2,13.54,✅
ct_042,R,109.39,97.69,2.49,33.17,curve1,11.7,✅
ct_043,L,96.51,107.55,-27.48,2.97,curve2,11.04,✅
ct_043,R,107.59,88.74,4.97,29.48,curve1,18.85,✅
ct_044,L,-152.49,-128.87,-32.94,-5.95,curve2,23.62,✅
ct_045,L,1208.59,1221.44,-39.61,-8.41,curve2,12.85,✅
ct_045,R,1227.14,1199.42,-6.97,23.47,curve1,27.72,✅
ct_046,L,-135.93,-129.88,-33.08,-9.95,curve2,6.06,✅
ct_046,R,-145.13,-152.62,-5.34,21.38,curve1,7.48,✅
ct_047,L,-116.7,-133.2,-1.49,-28.9,curve1,16.5,✅
ct_048,L,-17.43,-0.66,-25.96,0.2,curve2,16.76,✅
ct_048,R,1.04,-14.21,2.44,33.09,curve1,15.24,✅
ct_049,L,161.86,175.78,-26.92,5.22,curve2,13.92,✅
ct_049,R,159.02,187.68,37.65,7.84,curve2,28.66,✅
ct_050,L,207.74,221.96,-21.91,9.72,curve2,14.21,✅
ct_050,R,196.97,221.89,33.1,8.38,curve2,24.92,✅
ct_051,L,-625.86,-609.27,-26.28,-3.05,curve2,16.59,✅
ct_051,R,-611.64,-622.82,-1.91,25.07,curve1,11.19,✅
ct_052,L,-115.99,-128.31,-0.87,-22.64,curve1,12.32,✅
ct_052,R,-132.91,-118.22,28.14,2.47,curve2,14.7,✅
ct_053,L,-210.35,-195.95,-27.04,-1.16,curve2,14.39,✅
ct_053,R,-210.76,-193.86,27.24,1.09,curve2,16.9,✅
ct_054,L,-219.89,-199.31,-48.08,-22.63,curve2,20.57,✅
ct_054,R,-216.94,-199.3,15.8,-20.32,curve2,17.63,✅
ct_055,L,-202.2,-182.42,-22.17,-0.75,curve2,19.78,✅
ct_055,R,-184.93,-195.21,-0.22,34.34,curve1,10.28,✅
ct_056,L,575.32,593.68,-30.55,-2.46,curve2,18.36,✅
ct_056,R,571.55,591.42,25.14,-0.86,curve2,19.88,✅
ct_057,L,105.18,123.01,-35.97,-5.5,curve2,17.83,✅
ct_057,R,122.93,103.62,-4.37,23.27,curve1,19.31,✅
ct_058,L,1201.8,1183.7,-10.48,-36.06,curve1,18.1,✅
ct_058,R,1180.59,1201.07,20.52,-8.33,curve2,20.48,✅
ct_059,L,1166.05,1179.28,-19.85,9.42,curve2,13.23,✅
ct_059,R,1163.3,1179.62,40.11,11.25,curve2,16.32,✅
ct_060,L,-138.08,-116.25,-27.06,2.02,curve2,21.83,✅
ct_060,R,-116.24,-147.12,5.06,28.77,curve1,30.88,✅
ct_061,L,-8.09,7.91,-15.32,12.23,curve2,16.0,✅
ct_061,R,6.51,-7.73,14.92,43.32,curve1,14.24,✅
ct_062,L,-125.67,-145.24,1.07,-29.99,curve1,19.58,✅
ct_062,R,-146.99,-127.22,30.8,2.52,curve2,19.77,✅
ct_063,L,-318.88,-301.45,-36.25,-6.4,curve2,17.44,✅
ct_064,L,-347.6,-329.97,-27.52,0.41,curve2,17.63,✅
ct_064,R,-353.95,-331.25,26.5,2.3,curve2,22.7,✅
ct_065,L,-139.84,-163.82,-19.7,-41.7,curve1,23.99,✅
ct_065,R,-139.81,-162.62,-17.0,17.32,curve1,22.81,✅
ct_066,L,-89.72,-102.41,-3.41,-28.22,curve1,12.69,✅
ct_066,R,-89.59,-101.93,-2.22,21.91,curve1,12.34,✅
ct_067,L,-183.32,-163.02,-28.78,-8.39,curve2,20.3,✅
ct_067,R,-165.46,-175.83,-8.06,23.63,curve1,10.37,✅
ct_068,L,-176.09,-164.27,-43.03,-16.21,curve2,11.82,✅
ct_068,R,-163.4,-174.71,-14.19,18.84,curve1,11.31,✅
ct_069,L,-160.62,-149.19,-22.47,1.51,curve2,11.43,✅
ct_069,R,-162.6,-147.99,28.48,4.78,curve2,14.61,✅
ct_070,L,-214.3,-225.77,1.98,-25.04,curve1,11.47,✅
ct_070,R,-228.62,-214.56,25.24,2.07,curve2,14.06,✅
ct_071,L,-360.59,-373.71,17.53,-14.98,curve1,13.12,✅
ct_071,R,-385.37,-360.03,48.29,21.53,curve2,25.35,✅
ct_072,L,-168.08,-151.47,-17.93,4.8,curve2,16.61,✅
ct_072,R,-160.99,-159.61,32.56,6.85,curve2,1.37,✅
ct_073,L,1020.07,1035.16,-23.35,7.31,curve2,15.09,✅
ct_073,R,1035.98,1019.43,8.29,43.3,curve1,16.55,✅
ct_074,L,380.01,361.74,-7.03,-31.43,curve1,18.27,✅
ct_074,R,380.39,367.02,-5.52,24.71,curve1,13.37,✅
ct_075,L,-129.3,-103.07,-36.35,-7.31,curve2,26.23,✅
ct_075,R,-102.89,-122.16,-4.47,30.41,curve1,19.27,✅
ct_076,L,-66.76,-86.62,-12.37,-25.72,curve1,19.86,✅
ct_076,R,-65.46,-80.38,-10.34,23.39,curve1,14.92,✅
ct_077,L,1138.11,1149.45,-27.4,-0.88,curve2,11.35,✅
ct_077,R,1146.02,1151.17,33.69,1.13,curve2,5.14,✅
ct_078,L,-82.23,-68.45,-28.71,2.51,curve2,13.78,✅
ct_078,R,-68.54,-92.51,6.22,38.4,curve1,23.96,✅
ct_079,L,-81.87,-66.43,-35.72,-6.65,curve2,15.44,✅
ct_079,R,-67.75,-82.8,-4.54,22.31,curve1,15.05,✅
ct_080,L,-136.05,-126.44,-29.24,-6.27,curve2,9.61,✅
ct_080,R,-141.99,-126.67,22.25,-3.1,curve2,15.32,✅
ct_081,L,-109.77,-123.01,-0.2,-30.36,curve1,13.24,✅
ct_081,R,-107.33,-118.34,0.59,29.93,curve1,11.02,✅
ct_082,L,623.92,641.75,-29.3,0.93,curve2,17.84,✅
ct_082,R,643.26,626.12,1.33,36.54,curve1,17.13,✅
ct_083,L,651.02,666.79,-18.0,15.65,curve2,15.77,✅
ct_084,L,651.35,671.09,-33.23,-6.46,curve2,19.74,✅
ct_084,R,654.86,653.87,28.01,-6.05,curve1,0.99,❌
ct_085,L,595.56,593.89,7.66,-17.82,curve1,1.66,✅
ct_085,R,597.54,597.29,24.7,10.08,curve1,0.26,❌
ct_086,L,385.15,389.86,-34.54,-2.66,curve2,4.71,✅
ct_086,R,391.92,384.36,-3.42,31.8,curve1,7.56,✅
ct_087,L,1479.16,1496.85,-26.34,-3.19,curve2,17.69,✅
ct_087,R,1486.94,1496.75,24.7,-2.99,curve2,9.81,✅
ct_088,L,-135.08,-114.01,-29.13,-10.2,curve2,21.07,✅
ct_088,R,-114.48,-127.09,-7.17,19.61,curve1,12.62,✅
ct_089,L,1474.23,1489.6,-22.91,2.22,curve2,15.36,✅
ct_089,R,1487.93,1476.56,3.87,33.74,curve1,11.36,✅
ct_090,L,-118.32,-113.91,-21.77,0.62,curve2,4.41,✅
ct_090,R,-102.33,-120.33,3.3,27.54,curve1,18.0,✅
ct_131,L,-159.22,-155.16,-21.23,4.11,curve2,4.06,✅
ct_131,R,-139.99,-156.4,3.76,27.79,curve1,16.42,✅
ct_132,L,69.19,85.08,-24.5,3.26,curve2,15.88,✅
ct_132,R,64.34,82.37,30.78,2.34,curve2,18.03,✅
ct_133,L,-116.62,-97.3,-23.11,3.54,curve2,19.32,✅
ct_134,L,727.6,745.65,-28.87,0.59,curve2,18.05,✅
ct_135,L,-230.71,-221.25,-33.76,-3.38,curve2,9.46,✅
ct_135,R,-239.17,-222.5,29.91,0.93,curve2,16.67,✅
ct_136,L,1576.97,1588.24,-8.92,15.23,curve2,11.27,✅
ct_136,R,1589.16,1575.25,17.19,39.41,curve1,13.91,✅
ct_137,L,-615.84,-603.84,-33.37,-13.36,curve2,12.0,✅
ct_137,R,-614.48,-603.59,18.21,-11.89,curve2,10.89,✅
ct_138,L,1205.31,1221.8,-14.58,4.7,curve2,16.5,✅
ct_138,R,1224.18,1208.64,5.81,36.74,curve1,15.54,✅
ct_139,L,-149.32,-119.62,-25.86,-5.14,curve2,29.7,✅
ct_139,R,-143.78,-119.19,28.58,-3.64,curve2,24.59,✅
ct_140,L,-119.54,-108.33,-29.04,-3.34,curve2,11.2,✅
ct_140,R,-107.15,-119.19,-2.41,24.03,curve1,12.03,✅
ct_141,L,-160.87,-146.09,-31.14,-0.26,curve2,14.78,✅
ct_141,R,-147.88,-164.18,0.52,26.4,curve1,16.3,✅
ct_142,L,-170.11,-153.79,-15.74,10.19,curve2,16.32,✅
ct_142,R,-154.76,-172.73,12.16,36.72,curve1,17.97,✅
ct_143,L,-140.94,-132.62,-21.2,5.58,curve2,8.32,✅
ct_143,R,-131.09,-144.31,6.94,33.99,curve1,13.22,✅
ct_144,L,-154.81,-140.46,-27.07,-2.21,curve2,14.35,✅
ct_144,R,-158.47,-139.77,28.04,-0.74,curve2,18.69,✅
ct_145,L,-155.61,-136.25,-35.86,-7.54,curve2,19.37,✅
ct_146,L,1185.88,1166.23,22.87,-4.39,curve1,19.66,✅
ct_146,R,1186.07,1166.8,25.58,54.2,curve1,19.27,✅
ct_147,L,-155.91,-141.03,-32.39,-5.81,curve2,14.88,✅
ct_147,R,-143.4,-160.01,-5.27,28.54,curve1,16.61,✅
ct_148,L,-161.08,-152.47,-34.44,-5.42,curve2,8.61,✅
ct_148,R,-150.18,-170.54,-6.15,26.54,curve1,20.36,✅
ct_149,L,-146.83,-143.67,-30.66,-6.52,curve2,3.16,✅
ct_149,R,-147.73,-142.69,26.56,1.42,curve2,5.04,✅
ct_150,L,-360.63,-342.35,-29.49,-5.09,curve2,18.28,✅
ct_150,R,-361.82,-342.3,18.92,-3.33,curve2,19.52,✅
ct_151,L,-415.44,-396.36,-17.47,9.09,curve2,19.08,✅
ct_151,R,-419.46,-409.28,35.04,9.5,curve2,10.18,✅
ct_152,L,-93.34,-83.03,-41.29,-20.67,curve2,10.32,✅
ct_152,R,-85.11,-100.47,-20.46,13.63,curve1,15.36,✅
ct_153,L,-367.56,-384.54,-3.1,-24.17,curve1,16.97,✅
ct_153,R,-367.97,-385.46,0.32,32.74,curve1,17.49,✅
ct_154,L,-352.32,-334.97,-22.81,1.53,curve2,17.35,✅
ct_154,R,-346.15,-335.43,35.1,3.65,curve2,10.72,✅
ct_155,L,-341.28,-324.59,-30.78,-1.35,curve2,16.69,✅
ct_155,R,-323.92,-348.42,-1.33,28.01,curve1,24.5,✅
ct_156,L,-35.64,-55.5,-7.78,-28.25,curve1,19.85,✅
ct_156,R,-51.29,-34.28,25.65,-5.66,curve2,17.01,✅
ct_157,L,-5.44,12.89,-26.46,-2.85,curve2,18.34,✅
ct_157,R,10.0,-5.44,-2.11,27.0,curve1,15.44,✅
ct_158,L,1329.72,1317.91,-7.12,-32.82,curve1,11.81,✅
ct_158,R,1314.1,1330.61,34.13,-3.97,curve2,16.5,✅
ct_159,L,-102.66,-85.71,-34.76,-7.59,curve2,16.94,✅
ct_160,L,-159.51,-146.12,-27.14,2.34,curve2,13.4,✅
ct_160,R,-143.99,-160.46,4.33,31.33,curve1,16.47,✅
ct_161,L,-96.11,-81.47,-14.11,12.48,curve2,14.64,✅
ct_161,R,-80.41,-104.98,16.45,45.83,curve1,24.57,✅
ct_162,L,1272.27,1276.82,-23.15,-7.95,curve2,4.55,✅
